Description,Quantity,Unit,Unit_Price,Total_Price,Source_Sheet,Category
Concrete foundation work,100,m³,150.0,15000,BOQ_Sheet_1,
Steel reinforcement bars,500,kg,2.5,1250,BOQ_Sheet_1,
Electrical wiring installation,200,m,15.0,3000,BOQ_Sheet_1,
Plumbing pipe installation,150,m,25.0,3750,BOQ_Sheet_1,
Roofing materials,80,m²,45.0,3600,BOQ_Sheet_1,
Window installation,20,units,200.0,4000,BOQ_Sheet_1,
Door frames and hardware,15,units,150.0,2250,BOQ_Sheet_1,
Flooring materials,200,m²,35.0,7000,BOQ_Sheet_1,
Wall finishing,300,m²,20.0,6000,BOQ_Sheet_1,
HVAC system installation,1,system,5000.0,5000,BOQ_Sheet_1,
Unknown construction item,50,units,10.0,500,BOQ_Sheet_1,
Miscellaneous materials,100,kg,5.0,500,BOQ_Sheet_1,
Labor costs,1000,hours,25.0,25000,BOQ_Sheet_1,
Equipment rental,30,days,100.0,3000,BOQ_Sheet_1,
Site preparation work,200,m²,30.0,6000,BOQ_Sheet_1,
